City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
clyde river,70.4692,-68.5914,8.6,92,75,24.16,CA,1611543211
vaini,-21.2,-175.2,82.4,83,75,9.22,TO,1611543211
barrow,71.2906,-156.7887,-5.8,77,1,11.5,US,1611543212
hermanus,-34.4187,19.2345,64.99,78,6,13.0,ZA,1611543212
busselton,-33.65,115.3333,77.0,50,29,1.99,AU,1611543212
upernavik,72.7868,-56.1549,12.7,93,12,13.69,GL,1611543212
maralal,1.0968,36.698,56.05,90,39,4.74,KE,1611543212
aripuana,-9.1667,-60.6333,71.1,99,99,1.23,BR,1611543213
sola,-13.8833,167.55,81.61,79,100,15.39,VU,1611543213
chuy,-33.6971,-53.4616,70.63,95,0,5.12,UY,1611543213
mataura,-46.1927,168.8643,60.01,85,100,21.0,NZ,1611543213
port alfred,-33.5906,26.891,63.0,92,87,16.98,ZA,1611543213
namibe,-15.1961,12.1522,73.27,77,22,2.33,AO,1611543214
punta arenas,-53.15,-70.9167,46.18,66,0,20.71,CL,1611543214
ushuaia,-54.8,-68.3,48.2,71,75,19.57,AR,1611543214
hithadhoo,-0.6,73.0833,81.77,70,100,3.42,MV,1611543214
bimbo,4.2567,18.4158,71.6,73,20,3.65,CF,1611543215
cape town,-33.9258,18.4232,62.65,72,0,9.22,ZA,1611543215
bredasdorp,-34.5322,20.0403,64.4,72,25,11.5,ZA,1611543215
saint george,37.1041,-113.5841,43.63,49,1,5.75,US,1611543215
jamestown,42.097,-79.2353,22.41,68,90,4.61,US,1611543215
san patricio,28.017,-97.5169,72.23,88,90,19.57,US,1611543216
rikitea,-23.1203,-134.9692,80.33,71,42,9.15,PF,1611543216
nachalovo,46.338,48.2013,33.4,80,75,8.95,RU,1611543216
atuona,-9.8,-139.0333,78.57,75,2,13.76,PF,1611543216
chokurdakh,70.6333,147.9167,-32.82,82,100,11.95,RU,1611543216
arraial do cabo,-22.9661,-42.0278,75.15,85,64,19.64,BR,1611543217
maltahohe,-24.8333,16.9833,75.45,36,70,7.76,NA,1611543217
avarua,-21.2078,-159.775,86.0,66,20,12.66,CK,1611543217
milkovo,54.7167,158.6167,2.89,90,99,1.07,RU,1611543217
codrington,-38.2667,141.9667,73.81,58,100,5.39,AU,1611543218
cabedelo,-6.9811,-34.8339,78.8,83,75,6.91,BR,1611543218
albany,42.6001,-73.9662,16.66,51,50,4.0,US,1611542993
nortelandia,-14.4547,-56.8028,73.15,88,100,0.63,BR,1611543218
lodja,-3.4833,23.4333,68.36,96,100,1.81,CD,1611543218
bharatpur,27.2167,77.4833,49.96,49,0,3.0,IN,1611543177
severo-kurilsk,50.6789,156.125,19.4,93,99,21.52,RU,1611543219
thompson,55.7435,-97.8558,-11.2,77,90,8.05,CA,1611543219
mar del plata,-38.0023,-57.5575,72.68,94,20,11.5,AR,1611542949
bluff,-46.6,168.3333,60.01,85,96,21.0,NZ,1611543219
luganville,-15.5333,167.1667,85.44,73,74,0.72,VU,1611543220
matagami,49.7502,-77.6328,-9.4,84,75,0.4,CA,1611543220
bengkulu,-3.8004,102.2655,84.9,61,13,4.59,ID,1611543122
evensk,61.95,159.2333,-14.82,80,80,12.28,RU,1611543220
paracuru,-3.41,-39.0306,81.0,78,100,21.0,BR,1611543220
puerto leguizamo,-0.1934,-74.7819,73.11,97,100,0.2,CO,1611543221
mount isa,-20.7333,139.5,98.6,25,40,6.91,AU,1611543221
suba,10.8438,121.0102,81.32,80,1,9.73,PH,1611543221
borogontsy,62.6683,131.1683,-51.25,74,87,1.12,RU,1611543221
faya,18.3851,42.4509,51.78,46,0,0.49,SA,1611543222
talmenka,53.8183,83.5677,-34.6,55,54,4.47,RU,1611543222
hailar,49.2,119.7,5.83,90,100,13.02,CN,1611543222
haimen,23.1935,116.6142,64.4,63,4,2.24,CN,1611543222
kazachinskoye,57.6953,93.2761,-35.46,80,96,5.7,RU,1611543222
wadi musa,30.3222,35.4793,38.91,65,0,1.77,JO,1611543223
svecha,58.2785,47.5164,33.82,97,100,8.63,RU,1611543223
umm kaddadah,13.6017,26.6876,64.62,26,8,16.64,SD,1611543223
ewa beach,21.3156,-158.0072,80.33,57,1,9.22,US,1611543223
mexico,15.0646,120.7198,84.2,65,75,6.91,PH,1611543035
praxedis guerrero,31.3667,-106.0167,46.69,49,75,23.02,MX,1611543223
east london,-33.0153,27.9116,68.09,68,99,13.71,ZA,1611543224
andenes,69.3143,16.1194,20.73,79,90,8.05,NO,1611543224
inhambane,-23.865,35.3833,80.04,89,100,9.64,MZ,1611543061
pergamino,-33.89,-60.5736,79.9,64,0,3.0,AR,1611543224
champerico,14.3,-91.9167,66.34,93,39,7.38,GT,1611543224
bethel,41.3712,-73.414,21.42,36,1,3.44,US,1611543225
novouzensk,50.4592,48.1431,27.05,99,100,14.16,RU,1611543225
lorengau,-2.0226,147.2712,85.75,62,99,6.51,PG,1611543225
khatanga,71.9667,102.5,-18.15,88,100,10.18,RU,1611543225
luderitz,-26.6481,15.1594,67.66,59,89,20.58,NA,1611543225
kingston upon hull,53.7446,-0.3353,28.24,86,0,5.75,GB,1611543226
nikolskoye,59.7035,30.7861,35.19,93,75,8.95,RU,1611543226
singaraja,-8.112,115.0882,83.41,63,99,6.02,ID,1611543226
arenapolis,-14.4503,-56.8461,73.58,85,97,1.7,BR,1611543226
camalu,30.85,-116.0667,50.0,59,7,1.99,MX,1611543227
chegdomyn,51.1167,133.0167,-11.29,83,41,2.04,RU,1611543227
pisco,-13.7,-76.2167,71.35,73,0,18.41,PE,1611543227
saldanha,-33.0117,17.9442,59.0,72,0,5.75,ZA,1611543227
pacific grove,36.6177,-121.9166,47.91,93,90,3.44,US,1611543228
oktyabrskoye,43.0645,44.7417,23.0,93,92,6.71,RU,1611543228
lasa,46.6166,10.7002,19.99,72,78,3.31,IT,1611543228
konevo,62.1215,39.3192,33.67,93,100,7.56,RU,1611543228
isangel,-19.55,169.2667,81.34,82,100,17.83,VU,1611543229
kudahuvadhoo,2.6708,72.8944,81.72,77,50,12.66,MV,1611543229
georgetown,5.4112,100.3354,81.72,74,20,8.05,MY,1611543229
anadyr,64.75,177.4833,-13.0,77,0,8.95,RU,1611543230
nelson bay,-32.7167,152.15,94.55,33,0,5.75,AU,1611543230
la primavera,5.4906,-70.4092,79.84,65,89,4.32,CO,1611543230
kapaa,22.0752,-159.319,75.09,88,75,16.11,US,1611543230
chiang mai,18.75,99.0,70.11,68,0,2.3,TH,1611543101
west wendover,40.7391,-114.0733,28.4,86,75,4.61,US,1611543231
selishche,56.8879,33.2691,37.72,95,100,11.14,RU,1611543231
kenai,60.5544,-151.2583,28.49,100,1,3.44,US,1611543231
prince rupert,54.3161,-130.3201,36.54,93,90,3.44,CA,1611543231
port elizabeth,-33.918,25.5701,64.4,88,90,12.66,ZA,1611543231
sao filipe,14.8961,-24.4956,71.37,67,0,5.84,CV,1611543232
yellowknife,62.456,-114.3525,-17.75,76,40,10.36,CA,1611543232
venado tuerto,-33.7456,-61.9688,78.69,79,0,11.01,AR,1611543232
mackenzie,55.2999,-123.1698,14.0,92,90,5.75,CA,1611543232
srednekolymsk,67.45,153.6833,-27.6,84,100,7.92,RU,1611543233
hami,42.8,93.45,21.18,79,93,4.43,CN,1611543233
lima,-12.0432,-77.0282,72.86,78,75,8.05,PE,1611543104
hobart,-42.8794,147.3294,86.79,44,0,21.85,AU,1611543076
dikson,73.5069,80.5464,-18.53,88,100,13.69,RU,1611543233
iskateley,67.6803,53.1512,-4.63,91,100,10.67,RU,1611542969
lebu,-37.6167,-73.65,55.11,77,0,17.76,CL,1611543234
lavrentiya,65.5833,-171.0,3.83,93,100,0.85,RU,1611543234
longyearbyen,78.2186,15.6401,17.6,62,0,17.27,SJ,1611543234
saint-pierre,-21.3393,55.4781,75.94,73,0,3.44,RE,1611543234
narsaq,60.9167,-46.05,26.6,31,0,28.77,GL,1611543234
bairiki,1.3292,172.9752,82.4,74,20,6.91,KI,1611543235
touros,-5.1989,-35.4608,75.2,94,40,4.61,BR,1611543235
husavik,66.0449,-17.3389,24.8,93,90,11.5,IS,1611542938
hilo,19.7297,-155.09,74.52,57,90,6.91,US,1611542746
klaksvik,62.2266,-6.589,33.8,75,100,23.02,FO,1611543235
la ronge,55.1001,-105.2842,-28.3,68,0,2.42,CA,1611543236
airai,-8.9266,125.4092,64.36,100,100,2.04,TL,1611543236
palasa,18.7667,84.4167,75.81,67,7,4.5,IN,1611543236
ilulissat,69.2167,-51.1,12.2,44,0,4.61,GL,1611543236
ternate,0.8,127.4,82.83,70,100,8.86,ID,1611543236
tarko-sale,64.9225,77.785,-43.55,78,15,6.29,RU,1611543237
christchurch,-43.5333,172.6333,82.69,26,100,16.11,NZ,1611543237
wattegama,6.7989,81.4808,75.2,100,20,4.61,LK,1611543237
cervo,43.6702,-7.4101,50.0,100,100,14.0,ES,1611543237
quang ngai,15.1167,108.8,74.7,69,24,3.02,VN,1611543221
sioux lookout,50.1001,-91.917,-2.2,78,90,12.66,CA,1611543238
tilichiki,60.4667,166.1,-7.83,90,100,16.02,RU,1611543238
peleduy,59.6289,112.7406,-23.37,83,9,2.64,RU,1611543238
kodiak,57.79,-152.4072,37.4,44,1,12.66,US,1611543238
avera,33.194,-82.5271,52.72,82,90,5.75,US,1611543239
tam ky,15.5667,108.4833,75.2,73,20,4.61,VN,1611543239
aykhal,66.0,111.5,-35.73,80,48,2.42,RU,1611543239
puerto ayora,-0.7393,-90.3518,77.0,93,41,3.0,EC,1611543239
new norfolk,-42.7826,147.0587,88.05,29,100,1.99,AU,1611543043
talnakh,69.4865,88.3972,-32.82,79,100,4.74,RU,1611543240
panaba,21.2833,-88.2667,70.84,88,100,8.08,MX,1611543240
geraldton,-28.7667,114.6,73.47,58,55,13.49,AU,1611543240
butaritari,3.0707,172.7902,79.2,76,31,9.44,KI,1611543240
katsuura,35.1333,140.3,51.75,62,75,8.05,JP,1611543240
bambous virieux,-20.3428,57.7575,74.62,94,40,5.75,MU,1611543241
fort nelson,58.8053,-122.7002,1.4,66,90,1.39,CA,1611543241
kununurra,-15.7667,128.7333,82.4,100,98,8.05,AU,1611543229
alofi,-19.0595,-169.9187,82.4,69,75,2.3,NU,1611543241
rawson,-43.3002,-65.1023,72.34,65,0,13.91,AR,1611543242
raudeberg,61.9875,5.1352,35.01,72,0,12.03,NO,1611543242
norman wells,65.282,-126.8329,-13.0,84,90,4.61,CA,1611543242
whitefish,48.4111,-114.3376,22.48,68,90,0.96,US,1611543146
tupik,54.4253,119.9327,-16.37,85,100,5.35,RU,1611543243
esperance,-33.8667,121.9,71.6,56,75,11.5,AU,1611543243
vardo,70.3705,31.1107,17.6,86,75,12.66,NO,1611543243
sibu,2.3,111.8167,82.15,78,40,5.75,MY,1611543243
haines junction,60.7522,-137.5108,19.4,73,100,9.22,CA,1611543244
nome,64.5011,-165.4064,15.8,79,90,6.91,US,1611543244
beroroha,-21.6667,45.1667,72.73,89,89,1.48,MG,1611543244
mehamn,71.0357,27.8492,21.06,96,100,12.82,NO,1611543244
cidreira,-30.1811,-50.2056,75.34,85,71,14.97,BR,1611542999
muros,42.7762,-9.0603,57.09,94,100,3.0,ES,1611543245
caravelas,-17.7125,-39.2481,75.18,87,73,5.48,BR,1611543245
sao joao da barra,-21.6403,-41.0511,75.52,87,5,10.38,BR,1611543184
ancud,-41.8697,-73.8203,55.4,71,75,5.75,CL,1611543245
lagoa,39.05,-27.9833,62.76,94,100,23.96,PT,1611543245
ferrol,43.4832,-8.2369,54.32,91,100,5.99,ES,1611543246
sorong,-0.8833,131.25,82.98,74,100,4.59,ID,1611543246
zhigansk,66.7697,123.3711,-55.14,64,62,8.14,RU,1611543246
shenjiamen,29.9576,122.298,52.5,81,59,9.42,CN,1611543247
tasiilaq,65.6145,-37.6368,15.8,67,75,23.02,GL,1611543247
cayenne,4.9333,-52.3333,77.0,83,75,9.42,GF,1611543247
chicama,-7.8447,-79.1469,73.11,72,98,3.83,PE,1611543247
gewane,10.1664,40.6453,63.55,70,32,3.76,ET,1611543248
saint-philippe,-21.3585,55.7679,75.83,73,0,3.44,RE,1611543248
ponta do sol,32.6667,-17.1,53.08,73,3,1.99,PT,1611543248
northam,51.0333,-4.2167,33.08,76,0,4.0,GB,1611543249
mahebourg,-20.4081,57.7,73.4,94,40,5.75,MU,1611543249
suffolk,40.8668,-72.7996,28.31,34,1,9.22,US,1611543249
phuket,8.0,98.25,83.66,74,20,8.05,TH,1611543249
sawakin,19.1059,37.3321,74.05,82,75,7.23,SD,1611543249
san francisco de coray,13.6614,-87.5328,68.0,83,75,11.5,HN,1611543250
fortuna,40.5982,-124.1573,40.8,100,75,9.22,US,1611543250
shar,49.5886,81.0453,-20.79,86,22,5.99,KZ,1611543250
kaeo,-35.1,173.7833,84.0,52,0,15.99,NZ,1611543250
luanda,-8.8368,13.2343,77.0,83,20,2.3,AO,1611543225
hofn,64.2539,-15.2082,25.88,87,1,19.08,IS,1611543251
bahia blanca,-38.7196,-62.2724,92.61,22,1,19.37,AR,1611543251
qaanaaq,77.484,-69.3632,8.06,78,0,4.14,GL,1611543251
dombas,62.0696,9.1235,10.98,76,0,4.54,NO,1611543251
wladyslawowo,54.7909,18.4009,33.04,100,75,10.36,PL,1611543252
yeppoon,-23.1333,150.7333,86.0,54,75,12.66,AU,1611543252
yambio,4.5721,28.3955,75.69,47,96,2.06,SS,1611543253
san cristobal,7.7669,-72.225,65.79,87,82,1.43,VE,1611543253
rosarito,32.3333,-117.0333,52.11,82,75,5.75,MX,1611543074
limon,10.0,-83.0333,76.26,80,42,2.42,CR,1611543253
kaitangata,-46.2817,169.8464,64.0,68,86,21.0,NZ,1611543253
joshimath,30.5667,79.5667,43.03,32,0,4.97,IN,1611543254
miri,4.4148,114.0089,84.11,79,40,3.44,MY,1611543254
malatya,38.5,38.0,17.6,93,0,4.61,TR,1611543140
hay river,60.8156,-115.7999,-22.0,76,14,2.3,CA,1611543254
olovyannaya,50.95,115.5667,5.92,93,100,5.3,RU,1611543254
jalu,29.0331,21.5482,53.11,39,0,10.71,LY,1611543255
taoudenni,22.6783,-3.9836,64.09,26,69,8.34,ML,1611543255
provideniya,64.3833,-173.3,3.2,72,0,11.18,RU,1611543255
tuatapere,-46.1333,167.6833,60.01,85,90,21.0,NZ,1611543009
hambantota,6.1241,81.1185,75.2,100,20,4.61,LK,1611543256
tazovskiy,67.4667,78.7,-39.87,76,1,5.44,RU,1611543256
lompoc,34.6391,-120.4579,47.19,81,90,6.91,US,1611542983
nabire,-3.3667,135.4833,87.91,59,45,5.39,ID,1611543256
jasper,37.2001,-94.3502,43.12,100,90,6.91,US,1611543256
cururupu,-1.8283,-44.8683,75.18,93,100,3.24,BR,1611543257
egvekinot,66.3167,-179.1667,-3.98,85,0,10.47,RU,1611543257
faanui,-16.4833,-151.75,81.63,73,0,13.49,PF,1611543257
sinnamary,5.3833,-52.95,76.33,84,100,10.42,GF,1611543257
kamyshla,54.1169,52.1426,27.14,98,100,13.29,RU,1611543258
mombasa,-4.0547,39.6636,76.44,88,96,4.74,KE,1611543258
praia,14.9215,-23.5087,66.2,77,0,11.5,CV,1611543258
berlevag,70.8578,29.0864,22.57,96,100,15.46,NO,1611543258
akyab,20.15,92.9,68.5,47,0,6.71,MM,1611543259
kieta,-6.2167,155.6333,86.97,56,14,9.33,PG,1611543259
iracoubo,5.4802,-53.2011,77.09,79,100,9.64,GF,1611543259
castro,-24.7911,-50.0119,63.43,95,100,4.7,BR,1611543259
san pedro de macoris,18.4616,-69.2972,72.63,83,20,4.61,DO,1611543259
mount gambier,-37.8333,140.7667,75.2,60,90,12.66,AU,1611543260
rafai,4.95,23.9167,71.94,39,100,2.95,CF,1611543260
sudogda,55.9539,40.8629,34.86,96,100,10.45,RU,1611543260
buyukcavuslu,41.2423,28.0646,51.8,82,75,12.66,TR,1611543260
jauharabad,32.2898,72.2813,51.31,37,0,1.72,PK,1611543261
carnarvon,-24.8667,113.6333,80.6,54,40,16.11,AU,1611543261
hvolsvollur,63.7533,-20.2243,23.95,85,100,7.14,IS,1611543261
pevek,69.7008,170.3133,-20.74,88,90,6.96,RU,1611543261
edson,53.5835,-116.4356,3.2,85,90,6.91,CA,1611543261
liyang,29.7057,118.2862,52.0,79,89,1.01,CN,1611543261
kungurtug,50.5994,97.5228,-6.14,83,64,1.99,RU,1611543262
victoria,22.2855,114.1577,65.07,70,31,1.99,HK,1611543070
namatanai,-3.6667,152.4333,85.71,66,24,6.38,PG,1611543262
alyangula,-13.8483,136.4192,78.8,100,90,3.44,AU,1611543262
huaicheng,23.9051,112.1931,70.66,61,97,2.33,CN,1611543262
murray bridge,-35.1167,139.2667,86.7,40,96,11.39,AU,1611543263
sangod,24.9167,76.2833,51.6,46,0,4.27,IN,1611543263
panama city,8.9936,-79.5197,77.79,83,90,6.91,PA,1611543247
gazalkent,41.5581,69.7708,24.8,86,77,4.61,UZ,1611543264
plainview,40.7765,-73.4673,27.36,40,1,10.36,US,1611543264
kutum,14.2,24.6667,55.27,37,8,6.24,SD,1611543264
port-gentil,-0.7193,8.7815,80.73,78,81,9.13,GA,1611543264
qaqortoq,60.7167,-46.0333,26.6,31,0,28.77,GL,1611543264
chor,25.5167,69.7667,54.99,34,0,6.29,PK,1611543265
batemans bay,-35.7167,150.1833,98.01,45,48,7.0,AU,1611543265
seoul,37.5683,126.9778,48.2,61,0,2.3,KR,1611543189
yatou,37.15,122.3833,47.44,71,100,6.38,CN,1611543265
bac lieu,9.285,105.7244,81.75,65,36,11.81,VN,1611543192
havoysund,70.9963,24.6622,14.0,79,100,10.36,NO,1611543266
bilma,18.6853,12.9164,56.25,30,0,9.46,NE,1611542978
zhezkazgan,47.8043,67.7144,-5.15,87,52,2.64,KZ,1611543266
cherskiy,68.75,161.3,-25.53,86,100,6.08,RU,1611543266
carauari,-4.8828,-66.8958,73.54,96,100,0.81,BR,1611543267
fairbanks,64.8378,-147.7164,7.5,92,90,2.3,US,1611543126
half moon bay,37.4636,-122.4286,46.9,87,90,19.57,US,1611543267
ankazoabo,-22.2833,44.5167,72.23,91,100,1.7,MG,1611543267
umba,66.6871,34.3429,28.63,99,99,8.93,RU,1611543267
taft,31.7471,54.2088,30.2,37,0,4.61,IR,1611543268
repalle,16.0167,80.85,73.4,83,18,4.61,IN,1611543268
montecristi,-1.05,-80.6667,78.8,83,75,6.91,EC,1611543268
bratsk,56.1325,101.6142,-4.0,84,90,2.24,RU,1611543268
mao,39.8885,4.2658,55.4,88,0,10.36,ES,1611543268
angoche,-16.2325,39.9086,76.19,89,43,8.3,MZ,1611543269
port hedland,-20.3167,118.5667,98.6,19,42,8.05,AU,1611543269
kensington,-33.9167,151.2167,86.4,51,0,14.97,AU,1611543227
koumac,-20.5667,164.2833,83.7,69,91,8.12,NC,1611543269
manggar,-2.8833,108.2667,81.21,78,100,4.74,ID,1611543269
matara,5.9485,80.5353,78.21,74,66,6.51,LK,1611543270
goderich,43.7501,-81.7165,24.8,86,92,5.75,CA,1611543270
krasnopillya,50.7746,35.2597,33.62,93,100,15.66,UA,1611543270
llanes,43.4198,-4.7549,48.0,98,100,1.99,ES,1611543270
asfi,32.2994,-9.2372,57.7,84,94,10.49,MA,1611543270
lata,40.1629,-8.3327,56.44,96,100,11.01,PT,1611543271
georgiyevka,43.0369,74.7114,3.2,85,7,2.24,KZ,1611543271
ponta delgada,37.7333,-25.6667,62.8,100,75,19.57,PT,1611543271
roald,62.5833,6.1333,29.35,69,0,11.5,NO,1611543271
neuquen,-38.9516,-68.0591,86.0,20,0,13.8,AR,1611543272
canico,32.6333,-16.85,53.19,88,40,2.3,PT,1611543272
